Date,Revenue,COGS,Split,year,month,day,day_of_week,is_weekend,quarter,is_month_start,is_month_end,month_sin,month_cos,dow_sin,dow_cos,is_holiday,is_tet,active_promos,rev_lag_1,cogs_lag_1,rev_lag_7,cogs_lag_7,rev_lag_14,cogs_lag_14,rev_lag_30,cogs_lag_30,rev_lag_365,cogs_lag_365
2013-07-04,2521315.44,2408274.98,Train,2013,7,4,3,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,1,8038680.63,7869401.17,7748199.74,7462815.86,7078652.68,5515676.8,5397308.75,4297393.33,5123547.94,3982991.19
2013-07-05,2494107.65,2432073.97,Train,2013,7,5,4,0,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,1,2521315.44,2408274.98,6285354.21,6043485.1,5526354.45,4396745.86,6860958.96,5505167.85,2751773.45,2150580.23
2013-07-06,2452372.43,2331799.51,Train,2013,7,6,5,1,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,1,2494107.65,2432073.97,9546012.78,9167617.84,5117274.96,4111300.17,5692902.11,4632206.37,3054029.42,2517632.84
2013-07-07,2958215.01,2950992.63,Train,2013,7,7,6,1,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,1,2452372.43,2331799.51,7372318.59,7149429.97,5844565.63,4855247.11,3843507.28,2986865.05,2667930.94,2108246.62
2013-07-08,2571901.18,2450996.77,Train,2013,7,8,0,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,1,2958215.01,2950992.63,6359864.53,6248239.94,5243774.5,4800223.91,3646959.35,2897196.14,2360851.9,1808622.79
2013-07-09,4624825.33,4592718.95,Train,2013,7,9,1,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,1,2571901.18,2450996.77,7209130.33,6927420.38,6728887.1,6142934.34,3880132.51,3070545.08,3548386.46,2787841.68
2013-07-10,3855254.64,3797797.81,Train,2013,7,10,2,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,4624825.33,4592718.95,8038680.63,7869401.17,8817278.13,8290194.65,4476887.83,3582347.82,5234938.62,4044438.84
2013-07-11,5785320.61,5626075.87,Train,2013,7,11,3,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,1,3855254.64,3797797.81,2521315.44,2408274.98,7748199.74,7462815.86,5003847.86,3903592.44,5582884.78,4338313.07
2013-07-12,6053300.71,5886949.95,Train,2013,7,12,4,0,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,1,5785320.61,5626075.87,2494107.65,2432073.97,6285354.21,6043485.1,7209020.15,5796177.46,5734632.02,4458811.27
2013-07-13,4161301.31,3995435.41,Train,2013,7,13,5,1,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,1,6053300.71,5886949.95,2452372.43,2331799.51,9546012.78,9167617.84,6845836.24,5559998.61,5309511.71,4143402.78
2013-07-14,4482102.22,4419156.67,Train,2013,7,14,6,1,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,1,4161301.31,3995435.41,2958215.01,2950992.63,7372318.59,7149429.97,4871516.57,3975403.65,3820831.41,3075464.87
2013-07-15,4387240.36,4219310.04,Train,2013,7,15,0,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,1,4482102.22,4419156.67,2571901.18,2450996.77,6359864.53,6248239.94,5166292.57,4029821.84,3948841.28,3154482.05
2013-07-16,4411030.39,4135243.61,Train,2013,7,16,1,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,1,4387240.36,4219310.04,4624825.33,4592718.95,7209130.33,6927420.38,5794009.15,4551326.63,3503801.49,2708219.59
2013-07-17,4475453.64,4375610.63,Train,2013,7,17,2,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,1,4411030.39,4135243.61,3855254.64,3797797.81,8038680.63,7869401.17,5795298.96,4637293.92,4476729.49,3463061.65
2013-07-18,6265533.39,6163756.55,Train,2013,7,18,3,0,3,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,1,4475453.64,4375610.63,5785320.61,5626075.87,2521315.44,2408274.98,6632615.61,5459331.17,5184141.46,4072012.16
